Age,Branch,Date_of_join,Mobile
29,INSTRUMENTATION,10/2/2025,9253530439
28,CSE,24/1/2026,6339659931
26,MECH,26/7/2022,7448238186
28,MECH,21/7/2027,8230685066
25,ECE,17/6/2022,683800534
27,MECH,15/3/2023,7027120165
25,ECE,19/1/2027,711989604
26,ROBOTICS,27/7/2023,9014941412
29,INSTRUMENTATION,11/8/2023,743684333
26,EEE,18/4/2024,8758785826
26,CIVIL,23/8/2025,7860919795
28,ECE,16/6/2023,914301368
28,ECE,21/2/2023,8732404880
26,ROBOTICS,20/10/2023,9524009032
29,EEE,20/2/2027,9652244695
27,ROBOTICS,28/10/2024,6932370910
25,CIVIL,27/2/2022,8213686406
25,CSE,14/1/2027,9219180481
27,ECE,6/5/2027,9247443364
27,EEE,13/4/2022,6533454541
29,ROBOTICS,25/1/2024,9724670892
27,ECE,3/2/2023,9145380651
29,CIVIL,19/4/2022,6765117654
27,ROBOTICS,19/5/2025,8924498598
26,INSTRUMENTATION,21/7/2025,9329275522
25,ECE,17/11/2024,7826534298
27,MECH,21/5/2025,8854285526
26,MECH,6/4/2026,6733019213
26,CSE,3/7/2023,8331276056
27,CIVIL,20/9/2027,9260329468
27,INSTRUMENTATION,4/5/2024,8254518714
25,INSTRUMENTATION,13/4/2025,68877809
25,CIVIL,1/8/2024,82445436
26,EEE,21/1/2026,9356202824
25,ECE,8/6/2022,6514959121
25,ROBOTICS,8/8/2025,9045400048
28,INSTRUMENTATION,12/6/2022,7047143693
29,ECE,25/10/2025,7628609751
26,EEE,24/6/2027,9057169212
25,CIVIL,22/7/2023,7424464691
27,EEE,28/2/2025,6948205861
27,ECE,30/4/2023,7718182499
26,ROBOTICS,15/6/2022,9446346911
26,ROBOTICS,24/4/2024,8648676679
29,CIVIL,3/6/2026,767506441
28,CIVIL,26/7/2026,7656817314
29,ROBOTICS,17/10/2022,7059888209
27,CSE,27/7/2027,696985926
28,EEE,21/10/2027,7124673746
25,MECH,29/11/2022,932678170
28,ECE,2/1/2024,7460946528
29,CSE,27/6/2023,693623791
29,MECH,27/7/2027,8433406761
28,EEE,16/4/2027,6840478500
25,INSTRUMENTATION,13/3/2022,7666455419
27,EEE,21/4/2022,6352600311
26,INSTRUMENTATION,13/3/2023,8839315457
29,CIVIL,21/6/2025,886221427
29,EEE,26/6/2027,6936143988
29,INSTRUMENTATION,23/10/2027,7127745435
28,CIVIL,25/8/2027,6838241195
29,ECE,11/7/2024,742829037
26,CSE,28/1/2023,8465550941
27,MECH,21/8/2024,9624673013
27,MECH,28/5/2022,8627305293
27,INSTRUMENTATION,29/8/2024,7249547979
28,MECH,8/5/2024,6962022421
28,ECE,6/1/2022,921390485
25,ROBOTICS,12/6/2024,9817871312
29,ECE,10/4/2024,7653745522
26,CIVIL,20/10/2025,6556030556
26,EEE,24/2/2026,6945848968
29,EEE,21/11/2027,7656832691
27,ECE,9/3/2026,7966931088
28,ROBOTICS,10/7/2027,9746339977
25,ECE,18/6/2026,9230742937
27,MECH,29/2/2025,849562498
28,ROBOTICS,26/10/2024,6526441032
28,ECE,5/2/2026,9560088408
25,CSE,4/4/2027,695938563
27,CIVIL,16/2/2022,7120639638
29,CIVIL,29/7/2024,8332412123
26,INSTRUMENTATION,4/9/2022,7049510228
28,ECE,6/9/2022,9750986414
25,ECE,29/2/2024,6650002082
29,CIVIL,23/5/2025,7612070227
27,ROBOTICS,26/1/2022,6945657470
25,MECH,25/2/2024,6866808123
26,EEE,1/8/2023,9240550980
29,EEE,6/9/2026,6438771623
29,ECE,22/5/2022,7352022723
25,INSTRUMENTATION,1/8/2026,9749290105
25,INSTRUMENTATION,27/5/2027,8563462187
25,ROBOTICS,28/5/2027,6354602404
26,CIVIL,20/6/2022,6531101537
26,CSE,16/11/2022,8149255395
25,ROBOTICS,9/5/2025,918880357
25,MECH,6/7/2023,9423850246
26,CSE,23/1/2025,8260777381
29,CSE,24/6/2024,6718878286
