Age,Branch,Date_of_join,Mobile
49,ROBOTICS,22/7/2023,74377948
21,MECH,23/10/2027,8145580052
46,ROBOTICS,5/7/2023,8338731112
43,ECE,7/8/2026,638152606
40,ECE,24/11/2023,7848934507
37,INSTRUMENTATION,13/3/2023,8730958965
21,CIVIL,10/8/2025,84679833
28,EEE,16/1/2022,9628311738
49,ROBOTICS,10/11/2025,9457614524
22,ECE,6/3/2024,9531551333
40,EEE,17/5/2026,7450444241
31,CSE,14/8/2026,9153472024
42,CIVIL,23/5/2023,8762485012
23,CSE,25/9/2025,6532964584
31,EEE,19/2/2027,6659958028
43,MECH,12/6/2027,6715496948
49,MECH,12/10/2024,7228246925
39,INSTRUMENTATION,8/2/2024,6565107121
48,MECH,20/10/2022,9464940944
41,INSTRUMENTATION,19/10/2023,7834560484
30,CIVIL,3/4/2025,8821801083
19,MECH,14/7/2022,6828328086
44,ECE,1/8/2025,8922321367
19,MECH,18/8/2026,7420117375
25,ROBOTICS,16/7/2026,7028426744
20,CSE,4/7/2023,9552894011
39,ECE,30/10/2027,8723881817
31,CSE,17/6/2024,819364434
35,CSE,20/7/2022,9834261957
47,CSE,9/2/2025,771685917
26,INSTRUMENTATION,21/4/2027,8536364429
46,EEE,21/10/2025,6737378934
44,CIVIL,20/6/2023,9537208740
44,EEE,27/7/2024,8558527527
40,CIVIL,11/11/2023,9227964037
47,ECE,22/11/2027,7454308731
26,ROBOTICS,13/5/2026,8317165437
21,ROBOTICS,5/1/2022,6927068328
36,ROBOTICS,8/11/2025,9634451075
19,INSTRUMENTATION,23/4/2026,7344798917
35,INSTRUMENTATION,29/9/2024,8854882249
28,INSTRUMENTATION,21/4/2025,7527021942
42,MECH,11/9/2024,8832488503
43,ROBOTICS,11/3/2024,8841516434
44,EEE,13/2/2026,7260879424
18,ROBOTICS,28/10/2022,7066777801
31,CSE,27/6/2023,7417735127
43,EEE,29/11/2022,9727557474
37,ECE,7/5/2022,7640240463
40,CSE,11/8/2026,8115267705
45,EEE,19/4/2025,881089376
44,CIVIL,25/10/2025,722051891
25,ROBOTICS,1/5/2026,9436477441
22,MECH,7/10/2022,8459997284
22,CSE,13/3/2027,9722180633
26,CSE,30/11/2025,7711529882
38,CIVIL,6/2/2025,8344062118
41,ECE,19/10/2024,6641081743
25,ECE,27/8/2023,8239364873
37,INSTRUMENTATION,26/8/2026,9423497643
47,CIVIL,5/8/2022,6322638769
43,ECE,28/5/2026,7719287756
27,ROBOTICS,8/2/2025,6928054806
36,ECE,21/5/2023,6727296962
38,ROBOTICS,13/9/2023,9265151177
44,MECH,27/4/2026,6327060132
49,ECE,29/6/2024,942433627
19,MECH,26/7/2027,816829943
27,ECE,3/11/2024,9463327503
36,ECE,1/10/2023,9553123648
24,INSTRUMENTATION,11/6/2027,6547483782
30,EEE,10/10/2023,7226264088
44,EEE,9/1/2024,8446328848
35,ECE,7/7/2023,8962996160
41,ECE,25/6/2022,9165861729
30,MECH,6/9/2022,9438329908
37,INSTRUMENTATION,1/1/2027,8831623179
31,MECH,15/4/2024,8117165492
30,INSTRUMENTATION,10/9/2026,9519377004
44,MECH,25/9/2024,8049975166
31,CIVIL,21/4/2022,7741961869
38,CIVIL,23/5/2023,9533850145
20,MECH,14/7/2025,8020754908
22,ECE,23/8/2026,744031244
30,INSTRUMENTATION,14/4/2024,6748113878
36,CSE,29/6/2023,8059728461
29,INSTRUMENTATION,25/1/2026,80512580
46,INSTRUMENTATION,26/2/2025,7952957045
20,INSTRUMENTATION,4/10/2024,7036561174
34,CSE,22/11/2024,7153851887
26,MECH,29/8/2027,7838802634
24,CSE,3/3/2024,8411120945
28,ROBOTICS,23/3/2026,6865980921
40,EEE,11/8/2024,8338291508
44,CSE,15/8/2022,7657920340
25,MECH,7/7/2025,7127616170
33,CSE,27/8/2023,6831615272
21,ECE,9/3/2027,8166569485
32,MECH,4/4/2023,8352549147
22,MECH,9/6/2027,8760519458
43,CIVIL,12/8/2023,788225575
28,ROBOTICS,6/11/2023,9315456552
25,ROBOTICS,6/5/2023,7023992669
38,CSE,17/8/2025,868287418
33,MECH,30/1/2022,716817087
25,ECE,24/2/2026,805388887
37,MECH,20/1/2022,7814674841
49,ROBOTICS,15/6/2024,7510917864
34,EEE,19/1/2026,9630002819
35,CIVIL,17/5/2024,859153852
34,INSTRUMENTATION,7/1/2022,8251912971
48,MECH,19/11/2027,8129534481
46,CSE,25/7/2026,6715711917
23,INSTRUMENTATION,14/11/2024,753469758
20,ROBOTICS,18/6/2027,9556617476
40,CIVIL,4/4/2027,8338930399
21,INSTRUMENTATION,24/5/2024,9135695503
31,INSTRUMENTATION,12/9/2026,8638025806
48,ROBOTICS,23/9/2025,7916291605
32,INSTRUMENTATION,10/1/2022,6625046785
30,CSE,17/7/2025,7033208960
27,CSE,24/4/2026,6935967437
39,CIVIL,17/5/2023,6318371710
34,ROBOTICS,17/1/2027,6524072746
37,MECH,30/7/2025,9645021008
38,ECE,27/8/2026,7547644596
35,ECE,22/7/2027,8641787370
27,ROBOTICS,12/8/2027,6452983758
36,CSE,6/10/2023,9151982627
35,MECH,7/3/2026,9760396189
22,EEE,24/10/2022,6735489240
22,MECH,12/9/2026,97785274
19,CIVIL,9/8/2025,6514823965
24,EEE,6/2/2023,6836599444
44,INSTRUMENTATION,27/7/2024,9245236627
33,INSTRUMENTATION,29/6/2025,6415075401
18,INSTRUMENTATION,10/1/2022,8010636879
43,ECE,19/7/2022,7935461965
36,INSTRUMENTATION,16/5/2022,9549474378
45,INSTRUMENTATION,11/2/2027,6753254808
40,CIVIL,2/6/2024,9346844885
31,ROBOTICS,25/8/2026,9118444495
40,CIVIL,27/11/2025,7640525215
31,EEE,28/11/2025,9363397038
40,MECH,12/4/2025,7757439452
24,INSTRUMENTATION,12/1/2022,8953665402
46,ROBOTICS,14/5/2027,9853484519
47,INSTRUMENTATION,14/8/2022,9766437690
28,ECE,2/4/2023,8747001695
21,CSE,19/2/2025,7024362880
31,CIVIL,7/7/2026,8851138994
33,ROBOTICS,4/3/2027,6466293165
23,MECH,21/5/2027,9757929591
31,MECH,7/2/2026,8560415006
20,ECE,19/1/2024,801671797
18,ROBOTICS,27/9/2023,707813502
25,CIVIL,10/7/2026,677387911
45,CSE,21/1/2023,8765840229
37,INSTRUMENTATION,4/4/2027,9814085714
49,CIVIL,5/3/2023,7034633411
29,EEE,1/1/2024,6324903957
45,ROBOTICS,24/1/2024,8740962566
45,EEE,11/7/2022,864036408
22,ECE,17/1/2026,731654773
32,ROBOTICS,25/7/2027,9823968625
26,INSTRUMENTATION,28/8/2027,722841275
39,EEE,4/8/2026,8419042384
29,CSE,22/8/2026,632688034
49,ECE,24/6/2027,7760730061
29,ROBOTICS,16/8/2027,9215957896
34,CIVIL,5/9/2027,7454690463
28,ECE,14/4/2026,747616398
39,CSE,26/6/2027,8610741157
40,EEE,9/5/2027,9724084578
44,ECE,4/4/2024,9064282973
39,CIVIL,27/11/2024,7531179604
42,ECE,13/9/2027,8214815549
42,EEE,15/4/2026,843190013
46,MECH,16/3/2025,924267958
48,ECE,1/3/2022,8945822338
23,ROBOTICS,17/11/2026,7239743075
20,ROBOTICS,14/6/2024,8633742019
35,EEE,18/4/2024,8148717488
48,CIVIL,27/5/2024,93383269
41,CSE,10/6/2022,9054425222
31,ROBOTICS,26/1/2023,9735714286
45,ECE,1/1/2025,7752220457
24,CSE,25/11/2027,7054802486
44,ROBOTICS,28/2/2024,9325854344
37,EEE,18/6/2023,7751730993
45,ROBOTICS,7/11/2024,8629518639
36,ROBOTICS,19/11/2023,8814827348
40,ROBOTICS,7/10/2026,936419744
41,EEE,28/7/2023,7344627996
36,MECH,16/4/2026,9766824918
34,CSE,21/3/2022,6625054001
19,MECH,22/10/2024,6812777455
18,INSTRUMENTATION,13/2/2027,9242500899
38,ROBOTICS,9/7/2027,8742526318
34,MECH,7/11/2025,8351758914
37,ROBOTICS,16/6/2023,6338434857
28,ROBOTICS,26/5/2024,969838590
39,ECE,1/7/2026,85662841
39,MECH,18/1/2024,8956982587
19,CIVIL,6/2/2024,7517376061
49,CSE,5/3/2024,9141525172
28,MECH,24/10/2022,7627945396
49,ROBOTICS,12/3/2027,7718700440
31,EEE,18/6/2025,8559439528
39,INSTRUMENTATION,8/10/2026,8950517355
22,INSTRUMENTATION,1/7/2024,8537250603
25,MECH,16/11/2023,8032440007
35,INSTRUMENTATION,12/3/2027,7312698525
19,CIVIL,10/11/2025,9335252044
48,ROBOTICS,25/8/2022,6813265243
19,EEE,14/9/2025,6737542674
23,INSTRUMENTATION,4/1/2026,9851499008
42,ECE,16/11/2026,9562475381
29,ROBOTICS,4/2/2024,8763413072
20,MECH,6/9/2026,8224533192
35,INSTRUMENTATION,3/6/2022,7656233722
19,CIVIL,22/1/2024,8932512790
27,EEE,7/8/2022,9733186694
39,EEE,8/7/2027,897859156
35,INSTRUMENTATION,28/7/2027,9734385271
19,ROBOTICS,26/3/2027,8854672711
18,CIVIL,5/8/2022,8064744372
40,MECH,21/7/2024,8653413398
23,CIVIL,19/9/2027,6765634339
22,CIVIL,7/9/2024,9336269868
39,INSTRUMENTATION,20/1/2026,9866448003
19,CIVIL,5/6/2026,9034171664
32,ECE,18/2/2023,7441829149
45,CIVIL,12/8/2027,9548767589
47,CIVIL,2/3/2022,9724477766
44,CIVIL,14/11/2022,7363233742
26,CSE,29/9/2026,8563938207
27,ROBOTICS,24/11/2027,8359362111
29,ROBOTICS,9/10/2026,6931082472
42,EEE,29/8/2023,8255181801
44,ROBOTICS,26/10/2027,6439831711
18,INSTRUMENTATION,21/5/2025,7846226301
42,CIVIL,18/2/2023,9825453687
43,EEE,26/8/2024,6659339968
45,INSTRUMENTATION,9/11/2027,971957865
36,ROBOTICS,16/5/2023,64557803
41,INSTRUMENTATION,27/7/2022,6766895020
45,CSE,18/11/2026,7817691262
38,CIVIL,4/11/2023,7830462152
39,ECE,22/8/2023,7748167601
45,ROBOTICS,14/7/2025,6645089139
39,EEE,28/6/2025,8544274929
30,EEE,21/3/2024,732104126
24,CSE,30/3/2024,7426312712
30,EEE,2/11/2025,7518338263
39,MECH,11/3/2023,8830407168
37,ECE,30/5/2023,9443691131
22,CSE,16/2/2022,9410269836
47,ROBOTICS,5/7/2024,9645211681
24,ECE,20/11/2027,918580136
21,ROBOTICS,9/9/2025,9633850255
34,EEE,27/10/2026,914461346
20,MECH,12/1/2022,9522556988
49,CIVIL,30/11/2027,9053590353
35,ROBOTICS,16/5/2026,6847003159
36,INSTRUMENTATION,11/1/2026,701867225
45,ROBOTICS,20/10/2027,7011486367
25,ROBOTICS,7/3/2023,9443510497
26,ECE,2/7/2025,6811047642
45,ECE,21/11/2027,7015644734
37,ECE,18/11/2027,806101649
27,CIVIL,15/9/2026,7857467467
32,ROBOTICS,1/5/2027,9443600979
18,EEE,13/9/2024,6627921848
42,INSTRUMENTATION,8/11/2022,6832526229
49,ROBOTICS,9/1/2027,8828178208
40,ROBOTICS,13/3/2025,7636476401
29,INSTRUMENTATION,8/2/2024,88764185
22,ECE,27/8/2025,7312428400
44,EEE,10/6/2027,7756603786
39,CSE,28/10/2022,6343364945
23,CIVIL,27/3/2026,9455752689
30,INSTRUMENTATION,22/9/2024,9259932011
42,INSTRUMENTATION,3/5/2024,8221400809
41,CIVIL,19/10/2023,6758170337
42,CIVIL,21/4/2024,8122592543
29,CSE,6/4/2026,8535001591
42,MECH,12/5/2025,8719248549
49,INSTRUMENTATION,30/5/2027,7765623917
44,ECE,17/11/2024,9435093502
29,CIVIL,13/8/2027,8925319676
44,INSTRUMENTATION,25/11/2024,8633331611
47,ECE,12/9/2027,9018047135
30,CIVIL,22/2/2023,7622867317
35,INSTRUMENTATION,25/5/2025,7365738401
29,CIVIL,12/3/2022,7161613806
18,MECH,2/8/2025,8365514816
26,CIVIL,29/1/2022,8931207649
47,ROBOTICS,26/11/2023,8339911751
35,ROBOTICS,9/8/2024,9233114444
27,INSTRUMENTATION,2/11/2024,7029330366
22,CSE,22/8/2023,6410630177
46,ECE,10/9/2022,6710594194
49,CSE,11/1/2027,7114566730
34,ROBOTICS,7/9/2025,8139782419
30,MECH,9/4/2023,882056604
37,INSTRUMENTATION,8/8/2027,7116903545
37,CIVIL,8/10/2026,7429308211
42,ECE,25/8/2023,9343941875
39,EEE,2/5/2023,6827374284
24,ECE,18/10/2023,9450539735
44,CSE,8/9/2022,7914047987
40,ECE,2/7/2027,6818351944
34,CSE,13/6/2023,8349534781
38,ECE,22/10/2024,9010074343
37,INSTRUMENTATION,22/8/2022,6961178055
42,ECE,1/9/2027,9214001043
29,CIVIL,15/3/2023,9633960200
21,CSE,28/10/2024,9749515657
30,CIVIL,17/8/2025,8539547846
21,EEE,21/6/2023,7939123983
32,EEE,13/1/2022,9665139961
47,CSE,10/9/2026,6958650560
44,MECH,30/10/2025,8347401946
24,INSTRUMENTATION,3/2/2025,8965630788
48,ECE,14/4/2027,7746848381
33,ECE,10/9/2024,9260565344
47,CIVIL,2/4/2022,8924004919
43,EEE,6/4/2022,7155822593
43,ROBOTICS,10/4/2022,8133893781
47,MECH,12/8/2023,8066134371
40,INSTRUMENTATION,28/3/2022,8219522653
28,INSTRUMENTATION,20/10/2025,7539035423
34,EEE,27/1/2022,9818613696
37,CSE,6/6/2026,8754457505
36,INSTRUMENTATION,18/9/2027,9527676960
34,CSE,3/1/2027,7637570256
22,MECH,29/6/2022,9342043986
43,ECE,25/7/2026,8755889010
47,ECE,19/4/2026,8729535469
42,INSTRUMENTATION,15/9/2023,8143740671
18,ECE,2/11/2026,9252958489
28,MECH,12/2/2023,8512795341
29,INSTRUMENTATION,22/5/2027,7114126950
46,INSTRUMENTATION,28/1/2022,856175868
31,ROBOTICS,14/8/2022,8446414580
20,MECH,19/8/2027,9256108051
42,ECE,12/6/2027,9732639154
25,INSTRUMENTATION,22/7/2022,8948885499
35,MECH,14/5/2022,9339388722
48,CSE,9/5/2022,8132618616
47,EEE,22/6/2025,9138106337
33,ROBOTICS,19/9/2024,801512564
22,INSTRUMENTATION,1/4/2026,7139525523
28,EEE,10/6/2026,7735223080
38,ROBOTICS,18/5/2026,6764108088
35,EEE,26/2/2027,8742354449
36,ROBOTICS,23/5/2024,9621860208
49,MECH,2/8/2024,9765581418
38,INSTRUMENTATION,12/11/2023,9019594368
28,INSTRUMENTATION,4/10/2026,9659051102
43,ROBOTICS,24/10/2025,7667066375
32,INSTRUMENTATION,11/2/2025,6310133821
18,EEE,10/4/2025,634892572
28,ECE,19/1/2023,9056975007
47,MECH,16/11/2024,6562265
49,CIVIL,20/1/2027,8552415166
47,CSE,10/5/2027,7040220304
20,MECH,30/4/2027,8450913488
18,ROBOTICS,7/3/2022,9013867494
47,INSTRUMENTATION,6/11/2026,9613371347
35,CSE,30/7/2025,6514959750
30,ECE,25/4/2027,8521430464
26,CSE,9/10/2027,7214409893
42,CSE,8/6/2023,7329615082
20,MECH,15/10/2027,9828398334
39,CSE,15/2/2027,6841435826
27,CSE,20/2/2024,9816745370
34,EEE,7/8/2023,9856023255
49,CSE,25/6/2023,7311567186
37,CSE,7/3/2023,9728553594
30,ROBOTICS,17/6/2023,6720615646
26,CIVIL,4/7/2027,8964541406
18,INSTRUMENTATION,30/3/2025,7254397335
39,CIVIL,20/1/2025,7318051934
19,ECE,19/6/2027,751991382
47,ROBOTICS,20/1/2027,7014785566
32,INSTRUMENTATION,19/3/2022,7334186159
34,EEE,26/7/2023,8048513494
37,ROBOTICS,16/4/2023,7222372073
37,MECH,1/5/2026,9454781626
37,CIVIL,20/11/2022,7643734919
28,ROBOTICS,11/8/2024,6719060283
29,ROBOTICS,14/5/2023,6744377503
21,EEE,3/4/2024,8811291664
42,EEE,15/4/2027,7629635716
46,INSTRUMENTATION,15/6/2025,8243642850
46,EEE,4/2/2024,7238304114
41,EEE,22/10/2022,8011748208
41,ROBOTICS,15/3/2026,7441390611
18,ROBOTICS,11/1/2025,8832636227
25,EEE,23/8/2024,826195238
26,ECE,28/7/2023,7044066699
20,INSTRUMENTATION,5/11/2026,8361979290
35,CSE,26/8/2024,9414028770
28,ROBOTICS,7/7/2027,6620559342
36,ECE,6/9/2027,9851883627
34,INSTRUMENTATION,29/2/2026,7447255192
38,EEE,13/1/2027,8866976673
31,ECE,17/8/2027,7316790374
35,ECE,7/6/2022,7751055381
48,MECH,24/9/2024,8526727360
28,ECE,15/9/2025,7255938595
41,ECE,4/4/2024,9440690533
40,CSE,6/10/2027,967024648
30,ROBOTICS,27/4/2023,8554407969
38,ECE,19/2/2025,9358333574
45,CIVIL,18/9/2027,7062916344
47,CSE,18/1/2027,9123928711
47,ROBOTICS,1/5/2022,8511227187
42,CSE,2/7/2025,7725534060
44,MECH,24/6/2025,8511880660
41,ROBOTICS,13/9/2024,857316284
28,CSE,27/1/2023,8652133726
20,ROBOTICS,26/7/2025,8459612729
18,INSTRUMENTATION,23/8/2027,8111890664
29,CIVIL,17/5/2026,8542287618
47,ROBOTICS,23/9/2024,7927757672
36,ECE,12/7/2027,792039967
41,CIVIL,14/7/2024,9138622198
41,CIVIL,27/9/2027,9712929702
28,ECE,13/6/2022,9134553777
43,ROBOTICS,8/2/2027,6410862519
47,MECH,9/8/2022,8160396336
45,ECE,15/11/2023,8826052045
19,CIVIL,7/7/2027,9525751042
32,CIVIL,4/9/2025,9363794385
47,ECE,13/3/2026,7451852771
44,ROBOTICS,10/3/2024,6641427713
25,CSE,10/4/2022,77239964
47,EEE,3/7/2022,8542212944
23,MECH,20/2/2027,9656892923
35,ROBOTICS,25/10/2023,7625691486
23,INSTRUMENTATION,3/7/2024,9043734534
38,CIVIL,8/5/2023,9218216312
48,INSTRUMENTATION,4/7/2026,8131278136
38,MECH,1/7/2026,80930766
36,INSTRUMENTATION,17/8/2023,9217225365
38,CIVIL,29/4/2023,8140194419
32,EEE,26/10/2023,9055960490
46,EEE,22/2/2022,9256166413
23,CIVIL,19/5/2025,8866928846
47,CSE,12/9/2022,6664494967
34,ECE,6/10/2023,9620921813
46,CSE,1/1/2027,7747117482
48,MECH,20/2/2027,7926851706
40,CSE,26/11/2022,6765113115
31,INSTRUMENTATION,1/9/2027,7633507506
44,EEE,7/10/2027,8730138625
31,ROBOTICS,29/10/2026,6848540439
18,EEE,25/2/2024,9160379671
26,INSTRUMENTATION,5/6/2022,7647087903
38,CIVIL,1/4/2024,7212230718
42,CIVIL,30/2/2027,9821188832
32,EEE,22/10/2024,837366711
45,EEE,3/3/2027,9515198828
22,INSTRUMENTATION,11/4/2027,8727931466
47,CIVIL,14/9/2022,7538065870
30,EEE,9/9/2023,678468793
30,CSE,15/1/2023,943390571
45,EEE,16/9/2023,9540578433
23,MECH,18/10/2025,8257596483
25,INSTRUMENTATION,28/1/2023,8638935505
46,CIVIL,30/11/2024,8262677621
36,EEE,12/2/2024,7430026773
47,CIVIL,26/4/2026,8545358077
19,ROBOTICS,23/6/2023,9210479185
49,ECE,11/5/2023,7844565242
26,CSE,20/5/2024,9510499141
41,EEE,2/4/2024,866268518
24,CIVIL,6/4/2022,69651611
18,CSE,2/8/2024,7365594918
40,EEE,21/2/2027,7748648661
24,INSTRUMENTATION,17/5/2024,8847629247
43,CSE,22/2/2026,758447107
42,MECH,19/8/2027,7914343938
18,CSE,24/5/2024,8363314318
21,ROBOTICS,20/2/2022,8035597185
46,ROBOTICS,7/8/2026,706286264
39,EEE,19/5/2027,813560462
25,CSE,14/2/2024,9123070279
38,CIVIL,25/1/2022,8132724331
31,ECE,15/4/2022,777733171
26,EEE,6/10/2027,662601287
30,INSTRUMENTATION,4/2/2026,9515722544
46,ROBOTICS,16/9/2026,7316421996
31,ECE,27/5/2027,6315361925
49,CSE,18/5/2023,8215351104
19,MECH,21/1/2026,8211879840
27,INSTRUMENTATION,30/2/2025,7160842830
23,CSE,1/8/2022,7921050415
27,EEE,18/3/2026,8613629201
36,CSE,13/10/2023,7853070422
44,CSE,6/4/2024,958587224
28,INSTRUMENTATION,24/7/2024,6536532437
31,EEE,22/7/2027,9637036604
37,CSE,7/6/2023,9222448510
22,EEE,11/3/2022,9665237369
36,ROBOTICS,17/10/2024,7352666705
27,CIVIL,23/4/2026,9450161993
49,ROBOTICS,1/7/2025,8146829242
48,INSTRUMENTATION,3/4/2025,9033272263
49,CIVIL,14/8/2024,8860795633
33,CIVIL,23/11/2025,9134325897
43,ECE,17/10/2023,6716521234
39,EEE,18/7/2023,918391520
22,EEE,29/2/2023,8147268217
25,CSE,29/5/2025,638204196
38,EEE,2/5/2025,7451706764
38,MECH,27/11/2025,6643572488
49,ECE,17/10/2022,8928850082
21,MECH,24/1/2023,9857329572
45,ROBOTICS,21/2/2027,9832391164
18,EEE,24/1/2024,6960392797
49,EEE,22/6/2026,6946509152
28,MECH,26/10/2024,9446495731
24,CIVIL,30/3/2022,8858639732
29,CIVIL,11/6/2024,814853864
46,CIVIL,14/1/2027,7166907676
45,CSE,2/2/2023,7111139929
39,MECH,18/7/2027,7464169469
43,MECH,24/10/2022,7332718355
39,MECH,8/2/2024,6625242393
27,EEE,30/2/2023,7162462463
45,EEE,3/2/2024,7849984820
47,ECE,30/6/2025,7421410070
40,ECE,5/8/2024,8664735838
34,ROBOTICS,11/9/2027,9037125503
21,CIVIL,26/3/2027,895036438
37,ECE,11/6/2022,871320551
44,EEE,11/7/2025,7548096605
21,INSTRUMENTATION,9/3/2024,6528206905
19,ROBOTICS,27/3/2022,884412164
38,CSE,8/10/2027,7545127715
39,ECE,8/3/2025,6757622150
26,ROBOTICS,15/5/2023,8552116521
40,CSE,12/3/2024,7123717993
24,ROBOTICS,7/3/2024,8618999749
40,CSE,15/3/2026,8637458208
30,ECE,15/8/2026,8736085946
19,ROBOTICS,4/2/2025,735398813
35,ECE,27/3/2024,8460473073
37,CSE,4/4/2024,9319447876
37,INSTRUMENTATION,27/3/2023,9211916880
38,CIVIL,21/5/2024,6926622838
31,INSTRUMENTATION,22/6/2025,9616860325
28,EEE,7/4/2026,8051544685
38,INSTRUMENTATION,5/4/2023,9031730217
48,CIVIL,16/6/2022,9553113633
29,ROBOTICS,7/2/2025,8454335937
35,EEE,16/2/2026,7544967093
37,CSE,21/6/2023,9532183372
47,INSTRUMENTATION,18/10/2026,8159677650
37,CIVIL,27/7/2027,6930445390
26,EEE,13/3/2022,7248243454
32,ECE,8/2/2024,8653059307
45,ROBOTICS,8/9/2022,9527170434
31,EEE,24/7/2022,76155976
28,INSTRUMENTATION,27/1/2025,6733019454
49,CIVIL,1/1/2027,9449791910
35,ROBOTICS,13/5/2024,8027534293
21,CSE,17/3/2023,7013756217
32,EEE,16/1/2026,7149691906
28,ECE,23/6/2025,663592662
43,ECE,26/4/2027,7315940712
26,CSE,5/6/2027,7318939782
38,ROBOTICS,8/11/2026,7152771132
44,ROBOTICS,10/8/2026,92427482
46,EEE,21/9/2023,9763372601
48,EEE,17/10/2024,8738271120
42,EEE,6/4/2022,7338438988
43,EEE,18/11/2023,9621365163
38,EEE,10/2/2023,9842762327
48,ECE,9/10/2026,6339004688
24,ECE,23/11/2025,7444521749
32,ECE,20/4/2024,7211674228
38,ECE,27/1/2023,9225546657
32,INSTRUMENTATION,18/2/2027,7159964661
21,MECH,5/10/2027,8954179463
41,MECH,14/6/2022,7660845861
32,ROBOTICS,25/7/2027,949294480
21,CIVIL,14/9/2024,8823645169
31,MECH,11/2/2023,7815322509
47,EEE,15/8/2025,767003973
33,CSE,27/1/2024,8259655855
19,ROBOTICS,9/1/2026,6458850557
41,ECE,23/5/2022,8763462744
